,predict_original_data
154,814.7319237046202
155,814.6709503076436
156,814.6338955985339
157,814.6459237064871
158,814.729794483372
159,814.8306279847199
160,814.9846187743908
161,815.1510464738783
162,815.311860639735
163,815.4511926188999
164,815.5684493701166
165,815.6421465795438
166,815.6673514488496
167,815.6669062353202
168,815.6583307462663
169,815.6727364749515
170,815.6808930162106
171,815.6819545959517
172,815.6920844601632
173,815.6913258217758
174,815.6915083330572
175,815.6966046038
176,815.7064734995289
177,815.6935222074197
178,815.6859289433476
179,815.6814174612347
180,815.6870189152806
181,815.682521359365
182,815.6854894310039
183,815.6735074093905
184,815.6698200035434
185,815.6723932397962
186,815.6696088628433
187,815.6701496299875
188,815.6621402481828
189,815.6491780753666
190,815.6347621051583
191,815.6102225759009
192,815.6123044398928
193,815.6129061111474
194,815.5972641377216
195,815.5871065118487
196,815.5274030896408
197,815.4532917360779
198,815.4058118491804
199,815.3484562782827
200,815.2755081855571
201,815.2427099956122
202,815.2118627316729
203,815.2237418333665
204,815.2570163739224
205,815.2823570156695
206,815.2994018673797
207,815.3261086597147
208,815.3481926324787
209,815.3749049657382
210,815.4067579989671
211,815.4474371991537
212,815.4951416582986
213,815.543957887062
214,815.6225502722356
215,815.5954272409928
216,815.6560131718929
217,815.7381885378564
218,815.7423650202912
219,815.7599310413398
220,815.775800133636
221,815.7994541436144
222,815.8288765351068
223,815.8817211031036
224,815.8567288039995
225,815.8572519513984
226,815.9040820913791
227,815.9485198301757
228,816.0167987971698
229,816.0866076653068
230,816.1655969520175
231,816.2374127670467
232,816.347946211246
233,816.4870732160405
234,816.5796451503687
235,816.6618641859901
236,816.7270026037714
237,816.7926804707961
238,816.8577169175262
239,816.8947956429264
240,816.8855274959831
241,816.8424154654763
242,816.7957999367593
243,816.744465774326
244,816.6897364145627
245,816.6849327318379
246,816.6698951793957
247,816.6515156340365
248,816.6798393202556
249,816.7284154634173
250,816.8007480631971
251,816.8774002157396
252,816.956105818988
253,817.0119794429925
254,817.064973494063
255,817.0820136252541
256,817.1058348852223
257,817.1230340763223
258,817.1369890184567
259,817.1457252718963
260,817.1668075728799
261,817.190800369361
262,817.2138355112253
263,817.2638051185844
264,817.3250633261491
265,817.3969140234447
266,817.4286156977676
267,817.4213201334682
268,817.4165666627764
269,817.4695900562442
270,817.5401266281551
271,817.6180308040896
272,817.7084092049997
273,817.7685551785486
274,817.8160691472648
275,817.8516082633578
276,817.9186397610151
277,817.8973483861988
278,817.8788657779941
279,817.8581668501222
280,817.8061339915682
281,817.8484822785505
282,817.8748273225468
283,817.8679340053568
284,817.8534806923274
285,817.8666686325591
286,817.9042200362038
287,817.9414075091909
288,817.9916605672107
289,818.0297264677137
290,818.0574977647365
291,818.1664697453834
292,818.2511140521397
293,818.3073398500013
294,818.3410608742804
295,818.3143609064467
296,818.2610416175808
297,818.2282529311937
298,818.2132344253727
299,818.1539104666839
300,818.1270260165874
301,818.0889119888008
302,818.0793231007945
303,818.1288393609626
304,818.1957158432452
305,818.241046252523
306,818.2615980967925
307,818.3243504622872
308,818.3822119587866
309,818.4602599324909
310,818.5768310908546
311,818.6248322300424
312,818.6995599397476
313,818.8100355182742
314,818.8449086915274
315,818.8453552226778
316,818.7535647442204
317,818.6240888716706
318,818.4272181452824
319,818.1770755912954
320,817.9121400557173
321,817.6921102305871
322,817.5005792565555
323,817.3413212935105
324,817.2519437661622
325,817.1928815683825
326,817.2537313218103
327,817.2907427769362
328,817.3472748750485
329,817.3853570490779
330,817.5058721086054
331,817.6565479687899
332,817.7787661791882
333,817.8691686974976
334,817.9752603380267
335,818.0765273730307
336,818.1103784557798
337,818.1843489876945
338,818.18648709643
339,818.2094855635607
340,818.2556945652344
341,818.2700467130027
342,818.2722026303609
343,818.2574917628136
344,818.2432097853103
345,818.2348758401487
346,818.2229188670766
347,818.2357470966253
348,818.2735283596895
349,818.2955386858065
350,818.2964859619257
351,818.3685693462683
352,818.370898633054
353,818.3864241802414
354,818.4017659714038
355,818.4261948565397
356,818.2170692669624
357,818.2053558017218
358,818.1688618905786
359,818.2024345493942
360,818.3061030194509
361,818.4025076671505
362,818.4027058029412
363,818.526846411502
364,818.7250253401783
365,818.799560248164
366,818.7957028846321
367,818.7261707548264
368,818.5263796764187
369,818.4114511663764
370,818.2299339806412
371,818.0036710118695
372,817.7451240609194
373,817.5284627630622
374,817.304217674292
375,817.0251043138542
376,816.7999069067504
377,816.5479479614776
378,816.2959661408632
379,816.0499488993352
380,815.877956090519
381,815.7526262742552
382,815.735598060414
383,815.7855986064416
384,815.9051443072412
385,816.189177207789
386,816.4367585693585
387,816.6670994698665
388,816.920697720536
389,817.0579747740151
390,817.1055606421768
391,817.1598086925355
392,817.0212453565723
393,816.9598939910557
394,816.8875434324491
395,816.8203807644263
396,816.8447781310065
397,816.894286402939
398,816.8853126830489
399,816.8824444953574
400,816.9413227975568
401,816.9843680553258
402,817.0390188143057
403,817.094747156735
404,817.2414714924602
405,817.3653496772585
406,817.4444346757664
407,817.5691053309836
408,817.6612493536402
409,817.6952100416149
410,817.7640557912483
411,817.7636538630878
412,817.7426133458116
413,817.751643064838
414,817.7574754332512
415,817.7476640697986
416,817.7314992127136
417,817.6992485713366
418,817.6503812116363
419,817.6291081076174
420,817.5664003142821
421,817.5370163398147
422,817.5271540513568
423,817.5058761715732
424,817.5163377128825
425,817.5557975006716
426,817.5488018907341
427,817.5773872211035
428,817.5424334477616
429,817.4948363346737
430,817.4329286857859
431,817.4120715697852
432,817.3437789641408
433,817.2746404024475
434,817.2065026533105
435,817.2122123793936
436,817.2510371102817
437,817.2643862206069
438,817.2222685623173
439,817.1738043064775
440,817.1196029902821
441,817.0740035124694
442,817.007896125042
443,816.9007312712239
444,816.8516133330075
445,816.8225128947624
446,816.835351119323
447,816.7972692867925
448,816.7880361827469
449,816.7655810337465
450,816.7809798435248
451,816.7151477233218
452,816.6559681250452
453,816.6005819122485
454,816.6035098500072
455,816.589138141654
456,816.4966906344378
457,816.4856850166981
458,816.6138651993175
459,816.6407639635274
460,816.7419734147688
461,816.8192430311184
462,816.8440874004718
463,816.9816643270261
464,817.3224433383014
465,817.6263704266117
466,818.0108111572681
467,818.2268375305472
468,818.43035483348
469,818.7186332042878
470,818.8324078983663
471,818.8715621839503
472,818.7289557385385
473,818.6098377355393
474,818.5278498950586
475,818.3989834463218
476,818.2808417664392
477,818.1189870694704
478,818.0047003971156
479,817.8981703603404
480,817.6914434999582
481,817.5522192595627
482,817.414501668893
483,817.3291649481201
484,817.3288815618297
485,817.3871869047703
486,817.3339494628289
487,817.3452237745192
488,817.4310073738009
489,817.5277757859382
490,817.6676559004889
491,817.7320067795778
492,817.6648678070947
493,817.7131608314495
494,817.7504207738059
495,817.8286124328769
496,817.8496879949219
497,817.8006214539853
498,817.8434658142478
499,817.9321904737487
500,818.0218890784174
501,818.0505066689088
502,818.1786151318386
503,818.2937785058506
504,818.3261162137477
505,818.4700332669635
506,818.645965689392
507,818.7713904594286
508,818.7888459154079
509,818.8137777791608
510,818.8704687295524
511,818.9615584211228
512,819.1335339074246
513,819.2903757745477
514,819.5655363882254
515,819.9084226338579
516,820.251328951516
517,821.5258557424066
518,823.703027487476
519,824.882025116558
520,826.53397124468
521,827.6600037835613
522,829.3397772004807
523,832.1612421371028
524,833.0448631930356
525,832.7563936977967
526,833.1797932539947
527,832.989476269428
528,832.3687677924556
529,834.2240989301534
530,835.2766224381351
531,835.8818037459391
532,835.7268289213447
533,834.2364729227024
534,834.757496690488
535,840.2341023573335
536,855.1100651104218
537,881.0128712919973
538,923.2431133672861
539,1003.9492729062829
540,1082.5568696585594
541,1136.8666358692483
542,1137.1156973344794
543,1128.0573219042226
544,1130.3748364402113
545,1129.4738831630527
546,1093.3844299648367
547,1048.7494348513592
548,994.7950015973554
549,955.902969653996
550,932.9121629359875
551,910.4244386837307
552,895.3503855428512
553,888.3867110311045
554,882.3875139011849
555,876.8414073594902
556,872.2886799145735
557,868.8690051341815
558,868.6197696704422
559,870.797104722361
560,868.2784482768013
